@relation Rel

@attribute weight numeric
@attribute sonar1 numeric
@attribute sonar2 numeric
@attribute sonar3 numeric
@attribute sonar4 numeric
@attribute sonar5 numeric
@attribute sonar6 numeric
@attribute binStatus {Full,75pFilled,50pFilled,25pFilled,Empty}

@data
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full
500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
000.000000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,Empty
250.000000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,0.7500000,25pFilled
750.000000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,75pFilled
1000.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Full

1500.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,50pFilled
